Submit datetime, Solver type, Nodes type, #CPUs, Queue type, Input, #Threads, Sort, Real time
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_15-k_7__b.txt, 8, , 79.786
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_15-k_7-w100_200__b.txt, 8, , 85.026
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_16-k_6-w80_100__a.txt, 8, , 132.282
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_18-k_6-w80_100__a.txt, 8, , 149.450
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_18-k_6-w80_100__b.txt, 8, , 103.072
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_20-k_5__a.txt, 8, , 110.645
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_REG-n_16-k_6__b.txt, 8, , 55.348
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_REG-n_18-k_6-w_10_20__b.txt, 8, , 109.415
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_15-k_7__b.txt, 16, , 19.516
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_15-k_7-w100_200__b.txt, 16, , 39.941
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_16-k_6-w80_100__a.txt, 16, , 66.914
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_18-k_6-w80_100__a.txt, 16, , 54.162
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_18-k_6-w80_100__b.txt, 16, , 50.888
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_20-k_5__a.txt, 16, , 47.909
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_REG-n_16-k_6__b.txt, 16, , 28.629
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_REG-n_18-k_6-w_10_20__b.txt, 16, , 68.544
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_15-k_7__b.txt, 20, , 27.276
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_15-k_7-w100_200__b.txt, 20, , 27.898
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_16-k_6-w80_100__a.txt, 20, , 43.050
04/30/2022 19:05, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_18-k_6-w80_100__a.txt, 20, , 51.399
04/30/2022 19:05, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_18-k_6-w80_100__b.txt, 20, , 40.748
04/30/2022 19:05, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_20-k_5__a.txt, 20, , 27.693
04/30/2022 19:05, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_REG-n_16-k_6__b.txt, 20, , 18.325
04/30/2022 19:05, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_REG-n_18-k_6-w_10_20__b.txt, 20, , 67.194
